trend_name,category,primary_platform,primary_fabric_material,peak_value,weeks_to_peak,avg_before_peak,decay_weeks,images url
Athleisure,Apparel,Instagram,Spandex/Polyester Blend,46.8,40,9.6,23,https://pin.it/2KN3Ur5Zq
Oversized Blazers,Apparel,Pinterest,Wool/Polyester Blend,56.9,50,16.1,38,https://pin.it/70R3PADaP
Cargo Pants,Apparel,TikTok,Cotton Twill/Ripstop,76.5,35,19.1,55,https://pin.it/2KXmH0YkI
Wide-Leg Trousers,Apparel,Pinterest,Crepe/Gabardine,61.8,33,10.3,39,https://pin.it/7J9zCXruk
Bandana,Accessories,Pinterest,Cotton Canvas,95.8,49,14.4,36,https://pin.it/5pLNvqTKb
Pool Slides & Clogs,Footwear,TikTok,EVA Foam/Rubber,57.7,33,8.8,40,https://pin.it/3yztv7jKZ
Bike Shorts,Apparel,Instagram,Nylon/Lycra,43.1,39,19.1,30,https://pin.it/6jAUVXrX4
Shackets,Apparel,Pinterest,Flannel/Heavy Wool,50.5,14,20.6,22,https://pin.it/1nNZB3PEq
Puffer Jackets,Apparel,Instagram,Nylon/Down Fill,37.7,50,5.8,40,https://pin.it/7mNiOJBAL
Y2K Aesthetic,Aesthetic,TikTok,Multi (Denim/Mesh),99.1,20,15.3,17,https://pin.it/4dVnOWNMY
90s Grunge,Aesthetic,Pinterest,Flannel/Distressed Denim,60.7,18,20.2,23,https://pin.it/1MW78eYEM
70s Flare,Apparel,Instagram,Corduroy/Denim,31.5,25,8.4,65,https://pin.it/13FO2168J
"Chunky ""Dad"" Sneakers",Footwear,Instagram,Mesh/Leather,59.7,13,16.6,69,https://pin.it/1Bo2EDB46
Bucket Hats,Accessories,TikTok,Cotton Twill/Nylon,54.5,40,24,41,https://pin.it/7hD9YwZjq
Platform Shoes,Footwear,Pinterest,Leather/Faux Leather,50.2,21,21,29,https://pin.it/6tS16NRVr
Corset Tops,Apparel,TikTok,Satin/Brocade,62.7,26,11.1,38,https://pin.it/Hv7TtX3G8
Slip Dresses,Apparel,Instagram,Silk/Satin,53.4,51,21.5,60,https://pin.it/4fZzsdjXE
Cottagecore,Aesthetic,Pinterest,Linen/Lace,42.2,35,10.8,60,https://pin.it/5bIgZvpuD
Barbiecore,Aesthetic,TikTok,Tulle/Hot Pink Satin,36.3,26,7.2,40,https://pin.it/5Cp6aJPWW
Quiet Luxury / Old Money,Aesthetic,Instagram,Cashmere/Silk/Linen,74.3,35,19.9,23,https://pin.it/2vmNyekck
Gorpcore,Aesthetic,TikTok,Gore-Tex/Ripstop Nylon,30.2,22,6.3,23,https://pin.it/3lBXPuz8i
Dark Academia,Aesthetic,Pinterest,Tweed/Wool,62.7,44,20.8,57,https://pin.it/1BpKCpwvJ
Balletcore,Aesthetic,TikTok,Tulle/Ribbed Knit,46.1,39,18.9,23,https://pin.it/3SlIG4Y1T
Coastal Grandmother,Aesthetic,TikTok,Linen/Chunky Cotton Knit,50.2,44,8.5,38,https://pin.it/4zZF5bLoZ
Biker Chic,Aesthetic,Instagram,Heavy Leather/Hardware,60,48,22.1,55,https://pin.it/5SVauTb24
Sheer Fabrics,Fabric/Apparel,Instagram,Organza/Chiffon/Mesh,42.3,46,12.3,52,https://pin.it/4iUEbvunu
Crochet & Knitwear,Fabric/Apparel,Pinterest,Cotton/Acrylic Yarn,73.6,14,27.8,41,https://pin.it/2eU7rMNiB
Matching Co-ord Sets,Apparel,Instagram,Linen/Ribbed Jersey,40.6,25,12.1,24,https://pin.it/5tRv5BiQR
Cut-Out Clothing,Apparel,TikTok,Elastane Blends,61.9,37,9.8,28,https://pin.it/1ZO7dVIz4
Mesh Tops,Apparel,TikTok,Polyester Mesh,39.1,43,13.3,67,https://pin.it/2oxeP42V7
Fringe Details,Details,Pinterest,Suede/Leather/Rayon Threads,55.3,15,23.4,38,https://pin.it/4Z0FRQhCH
Metallic Fabrics,Fabric/Apparel,Instagram,Lurex/Coated Faux Leather,57.1,26,21.5,51,https://pin.it/1o1Z9gwN3
Acid Wash Denim,Fabric/Apparel,TikTok,Heavy Cotton Denim,72.3,18,17.1,37,https://pin.it/1o1Z9gwN3
Baguette Bags,Accessories,Instagram,Nylon/Faux Croc Leather,69.5,17,19.9,59,https://pin.it/I9dTfVlfX
Mary Janes,Footwear,Pinterest,Patent Leather/Velvet,38.4,41,15.9,70,https://pin.it/6gvwGQCk4
Cowboy Boots,Footwear,TikTok,Distressed Leather/Suede,97.4,50,41.1,16,https://pin.it/3lQ4DTmci
Tiny Sunglasses,Accessories,Instagram,Acetate/Metal,40.2,24,16.4,54,https://pin.it/21k9eeqPU
Claw Clips,Accessories,TikTok,Acetate/Plastic Resin,37.4,38,10.3,52,https://pin.it/2dfd0m256
Loafers with White Socks,Footwear,Pinterest,Polished Leather + Cotton,61.1,35,26.4,69,https://pin.it/6tsjltnRD
Chunky Gold Jewelry,Accessories,Instagram,Gold-Plated Brass,39.8,35,14.4,64,https://pin.it/5ZWDgtMXT
Micro Bags,Accessories,Instagram,Structured Leather,32.9,23,7.4,17,https://pin.it/7LRZKiQHv
